0x000E, 0x000E, 0x0000, 0x0000, 0x0000, 0x0000
0x001C, 0x001C, 0x0000, 0x0000, 0x0000, 0x0000
0x001D, 0x001D, 0x0000, 0x0000, 0x0000, 0x0000
0x001E, 0x001E, 0x0000, 0x0000, 0x0000, 0x0000
0x001F, 0xFFFF, 0x0290, 0x0291, 0xFFFF, 0x0292
0x0020, 0x0020, 0x0000, 0x0000, 0x0000, 0x0000
0x004B, 0x004B, 0x0000, 0x0000, 0x0000, 0x0000
0x0049, 0xFFFF, 0xFFFF, 0x0293, 0xFFFF, 0x0294
0x0115, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x0295
0x022D, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x0296
0x022E, 0x022E, 0x0000, 0x0000, 0x0000, 0x0000
0x022F, 0x022F, 0x0000, 0x0000, 0x0000, 0x0000
0x0230, 0x0230, 0x0000, 0x0000, 0x0000, 0x0000
0x0042, 0x0042, 0x0000, 0x0000, 0x0000, 0x0000
0x00AA, 0xFFFF, 0xFFFF, 0xFFFF, 0x0297, 0x0000
0x0116, 0xFFFF, 0xFFFF, 0x0298, 0xFFFF, 0x0299
0x011A, 0x011A, 0x0000, 0x0000, 0x0000, 0x0000
0x0233, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x029A
0x0234, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x029B
0x0235, 0x0235, 0x0000, 0x0000, 0x0000, 0x0000
0x0236, 0x0236, 0x0000, 0x0000, 0x0000, 0x0000
0x0237, 0x0237, 0x0000, 0x0000, 0x0000, 0x0000
0x0238, 0x0238, 0x0000, 0x0000, 0x0000, 0x0000
0x0043, 0x0043, 0x0000, 0x0000, 0x0000, 0x0000
0x00AB, 0xFFFF, 0xFFFF, 0xFFFF, 0x029C, 0x0000
0x011E, 0x011E, 0x0000, 0x0000, 0x0000, 0x0000
0x011F, 0xFFFF, 0xFFFF, 0x029D, 0xFFFF, 0x029E
0x023D, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x029F
0x023E, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02A0
0x023F, 0x023F, 0x0000, 0x0000, 0x0000, 0x0000
0x0240, 0x0240, 0x0000, 0x0000, 0x0000, 0x0000
0x0241, 0x0241, 0x0000, 0x0000, 0x0000, 0x0000
0x0242, 0x0242, 0x0000, 0x0000, 0x0000, 0x0000
0x0077, 0xFFFF, 0xFFFF, 0x02A1, 0xFFFF, 0x02A2
0x0120, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02A3
0x0247, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02A4
0x0078, 0xFFFF, 0xFFFF, 0x02A5, 0xFFFF, 0x02A6
0x0121, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02A7
0x0249, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02A8
0x0122, 0x0122, 0x0000, 0x0000, 0x0000, 0x0000
0x0123, 0x0123, 0x0000, 0x0000, 0x0000, 0x0000
0x0124, 0xFFFF, 0xFFFF, 0x02A9, 0xFFFF, 0x02AA
0x0016, 0x0016, 0x0000, 0x0000, 0x0000, 0x0000
0x0017, 0xFFFF, 0x02AB, 0xFFFF, 0x02AC, 0x0000
0x0018, 0x0018, 0x0000, 0x0000, 0x0000, 0x0000
0x002B, 0x002B, 0x0000, 0x0000, 0x0000, 0x0000
0x005B, 0x005B, 0x0000, 0x0000, 0x0000, 0x0000
0x005C, 0x005C, 0x0000, 0x0000, 0x0000, 0x0000
0x005D, 0x005D, 0x0000, 0x0000, 0x0000, 0x0000
0x006F, 0x006F, 0x0000, 0x0000, 0x0000, 0x0000
0x0099, 0xFFFF, 0xFFFF, 0xFFFF, 0x02AD, 0x0000
0x009A, 0x009A, 0x0000, 0x0000, 0x0000, 0x0000
0x00A8, 0x00A8, 0x0000, 0x0000, 0x0000, 0x0000
0x00AC, 0x00AC, 0x0000, 0x0000, 0x0000, 0x0000
0x00AD, 0xFFFF, 0xFFFF, 0xFFFF, 0x02AE, 0x0000
0x00AE, 0x00AE, 0x0000, 0x0000, 0x0000, 0x0000
0x00AF, 0x00AF, 0x0000, 0x0000, 0x0000, 0x0000
0x000F, 0x000F, 0x0000, 0x0000, 0x0000, 0x0000
0x0041, 0xFFFF, 0xFFFF, 0x02AF, 0xFFFF, 0x02B0
0x0126, 0x0126, 0x0000, 0x0000, 0x0000, 0x0000
0x0079, 0xFFFF, 0xFFFF, 0x02B1, 0xFFFF, 0x02B2
0x0054, 0xFFFF, 0x02B3, 0x02B4, 0xFFFF, 0x02B5
0x012C, 0xFFFF, 0xFFFF, 0xFFFF, 0x02B6, 0x0000
0x0071, 0x0071, 0x0000, 0x0000, 0x0000, 0x0000
0x0072, 0x0072, 0x0000, 0x0000, 0x0000, 0x0000
0x0130, 0x0130, 0x0000, 0x0000, 0x0000, 0x0000
0x0131, 0x0131, 0x0000, 0x0000, 0x0000, 0x0000
0x01B9, 0x01B9, 0x0000, 0x0000, 0x0000, 0x0000
0x01BA, 0xFFFF, 0xFFFF, 0x02B7, 0x02B8, 0x0000
0x0031, 0x0031, 0x0000, 0x0000, 0x0000, 0x0000
0x0082, 0x0082, 0x0000, 0x0000, 0x0000, 0x0000
0x0132, 0x0132, 0x0000, 0x0000, 0x0000, 0x0000
0x0133, 0xFFFF, 0xFFFF, 0x02B9, 0xFFFF, 0x02BA
0x0134, 0x0134, 0x0000, 0x0000, 0x0000, 0x0000
0x002A, 0x002A, 0x0000, 0x0000, 0x0000, 0x0000
0x0045, 0x0045, 0x0000, 0x0000, 0x0000, 0x0000
0x004F, 0x004F, 0x0000, 0x0000, 0x0000, 0x0000
0x007E, 0x007E, 0x0000, 0x0000, 0x0000, 0x0000
0x007F, 0x007F, 0x0000, 0x0000, 0x0000, 0x0000
0x0080, 0x0080, 0x0000, 0x0000, 0x0000, 0x0000
0x0081, 0x0081, 0x0000, 0x0000, 0x0000, 0x0000
0x0094, 0x0094, 0x0000, 0x0000, 0x0000, 0x0000
0x0102, 0xFFFF, 0xFFFF, 0xFFFF, 0x02BB, 0x0000
0x0139, 0x0139, 0x0000, 0x0000, 0x0000, 0x0000
0x024B, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02BC
0x024C, 0x024C, 0x0000, 0x0000, 0x0000, 0x0000
0x0037, 0x0037, 0x0000, 0x0000, 0x0000, 0x0000
0x0055, 0xFFFF, 0xFFFF, 0x02BD, 0xFFFF, 0x02BE
0x0003, 0x0003, 0x0000, 0x0000, 0x0000, 0x0000
0x000B, 0x02BF, 0x02C0, 0xFFFF, 0x02C1, 0x0000
0x000C, 0x000C, 0x0000, 0x0000, 0x0000, 0x0000
0x0142, 0x02C2, 0x02C3, 0x02C4, 0x0000, 0x0000
0x0143, 0x0143, 0x0000, 0x0000, 0x0000, 0x0000
0x0012, 0x0012, 0x0000, 0x0000, 0x0000, 0x0000
0x0013, 0x0013, 0x0000, 0x0000, 0x0000, 0x0000
0x0024, 0x0024, 0x0000, 0x0000, 0x0000, 0x0000
0x0025, 0x0025, 0x0000, 0x0000, 0x0000, 0x0000
0x0027, 0x0027, 0x0000, 0x0000, 0x0000, 0x0000
0x0028, 0x0028, 0x0000, 0x0000, 0x0000, 0x0000
0x0029, 0x0029, 0x0000, 0x0000, 0x0000, 0x0000
0x0146, 0x0146, 0x0000, 0x0000, 0x0000, 0x0000
0x01C3, 0xFFFF, 0x02C5, 0x02C6, 0xFFFF, 0x02C7
0x000D, 0x02C8, 0x02C9, 0xFFFF, 0x02CA, 0x0000
0x0147, 0xFFFF, 0x02CB, 0x02CC, 0x02CD, 0x0000
0x0148, 0x0148, 0x0000, 0x0000, 0x0000, 0x0000
0x0011, 0x0011, 0x0000, 0x0000, 0x0000, 0x0000
0x0023, 0x0023, 0x0000, 0x0000, 0x0000, 0x0000
0x01C8, 0x02CE, 0x02CF, 0xFFFF, 0x02D0, 0x0000
0x0035, 0xFFFF, 0x02D1, 0x02D2, 0x02D3, 0x0000
0x0058, 0x0058, 0x0000, 0x0000, 0x0000, 0x0000
0x0059, 0x0059, 0x0000, 0x0000, 0x0000, 0x0000
0x005A, 0x005A, 0x0000, 0x0000, 0x0000, 0x0000
0x0066, 0x0066, 0x0000, 0x0000, 0x0000, 0x0000
0x014C, 0xFFFF, 0x02D4, 0x02D5, 0x02D6, 0x0000
0x014D, 0x014D, 0x0000, 0x0000, 0x0000, 0x0000
0x0052, 0x0052, 0x0000, 0x0000, 0x0000, 0x0000
0x014F, 0xFFFF, 0xFFFF, 0xFFFF, 0x02D7, 0x02D8
0x0053, 0xFFFF, 0x02D9, 0x02DA, 0xFFFF, 0x02DB
0x005E, 0xFFFF, 0x02DC, 0x02DD, 0xFFFF, 0x02DE
0x005F, 0x005F, 0x0000, 0x0000, 0x0000, 0x0000
0x024F, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02DF
0x0250, 0x0250, 0x0000, 0x0000, 0x0000, 0x0000
0x0251, 0x0251, 0x0000, 0x0000, 0x0000, 0x0000
0x0060, 0xFFFF, 0x02E0, 0x02E1, 0xFFFF, 0x02E2
0x0061, 0x0061, 0x0000, 0x0000, 0x0000, 0x0000
0x0252, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02E3
0x0253, 0x0253, 0x0000, 0x0000, 0x0000, 0x0000
0x0254, 0x0254, 0x0000, 0x0000, 0x0000, 0x0000
0x006E, 0x006E, 0x0000, 0x0000, 0x0000, 0x0000
0x00B4, 0x00B4, 0x0000, 0x0000, 0x0000, 0x0000
0x0151, 0xFFFF, 0xFFFF, 0xFFFF, 0x02E4, 0x02E5
0x0152, 0x0152, 0x0000, 0x0000, 0x0000, 0x0000
0x01E2, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02E6
0x0062, 0x0062, 0x0000, 0x0000, 0x0000, 0x0000
0x0063, 0x0063, 0x0000, 0x0000, 0x0000, 0x0000
0x01E6, 0xFFFF, 0x02E7, 0x02E8, 0x02E9, 0x0000
0x0046, 0x0046, 0x0000, 0x0000, 0x0000, 0x0000
0x0047, 0x0047, 0x0000, 0x0000, 0x0000, 0x0000
0x0048, 0x0048, 0x0000, 0x0000, 0x0000, 0x0000
0x004E, 0xFFFF, 0x02EA, 0x02EB, 0x02EC, 0x0000
0x0050, 0x0050, 0x0000, 0x0000, 0x0000, 0x0000
0x0092, 0x0092, 0x0000, 0x0000, 0x0000, 0x0000
0x0093, 0x0093, 0x0000, 0x0000, 0x0000, 0x0000
0x01E8, 0x01E8, 0x0000, 0x0000, 0x0000, 0x0000
0x01E9, 0x01E9, 0x0000, 0x0000, 0x0000, 0x0000
0x01EA, 0x01EA, 0x0000, 0x0000, 0x0000, 0x0000
0x015A, 0xFFFF, 0xFFFF, 0x02ED, 0xFFFF, 0x02EE
0x01EB, 0x01EB, 0x0000, 0x0000, 0x0000, 0x0000
0x01EC, 0x01EC, 0x0000, 0x0000, 0x0000, 0x0000
0x0088, 0x0088, 0x0000, 0x0000, 0x0000, 0x0000
0x0089, 0xFFFF, 0xFFFF, 0x02EF, 0x02F0, 0x0000
0x008E, 0x008E, 0x0000, 0x0000, 0x0000, 0x0000
0x008F, 0xFFFF, 0xFFFF, 0x02F1, 0xFFFF, 0x02F2
0x008A, 0x008A, 0x0000, 0x0000, 0x0000, 0x0000
0x008B, 0xFFFF, 0xFFFF, 0x02F3, 0x02F4, 0x0000
0x0090, 0x0090, 0x0000, 0x0000, 0x0000, 0x0000
0x0091, 0xFFFF, 0xFFFF, 0x02F5, 0x02F6, 0x0000
0x0067, 0x0067, 0x0000, 0x0000, 0x0000, 0x0000
0x0068, 0x0068, 0x0000, 0x0000, 0x0000, 0x0000
0x009F, 0x009F, 0x0000, 0x0000, 0x0000, 0x0000
0x00A0, 0x00A0, 0x0000, 0x0000, 0x0000, 0x0000
0x00A1, 0x00A1, 0x0000, 0x0000, 0x0000, 0x0000
0x00A6, 0x00A6, 0x0000, 0x0000, 0x0000, 0x0000
0x00B7, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02F7
0x00B8, 0x00B8, 0x0000, 0x0000, 0x0000, 0x0000
0x00B9, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02F8
0x00BA, 0x00BA, 0x0000, 0x0000, 0x0000, 0x0000
0x00BB, 0x00BB, 0x0000, 0x0000, 0x0000, 0x0000
0x00BC, 0x00BC, 0x0000, 0x0000, 0x0000, 0x0000
0x0255, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02F9
0x0256, 0x0256, 0x0000, 0x0000, 0x0000, 0x0000
0x0257, 0x0257, 0x0000, 0x0000, 0x0000, 0x0000
0x0258, 0x0258, 0x0000, 0x0000, 0x0000, 0x0000
0x0069, 0x0069, 0x0000, 0x0000, 0x0000, 0x0000
0x006A, 0x006A, 0x0000, 0x0000, 0x0000, 0x0000
0x00A2, 0x00A2, 0x0000, 0x0000, 0x0000, 0x0000
0x00A3, 0x00A3, 0x0000, 0x0000, 0x0000, 0x0000
0x00A4, 0x00A4, 0x0000, 0x0000, 0x0000, 0x0000
0x00A7, 0x00A7, 0x0000, 0x0000, 0x0000, 0x0000
0x00BD, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02FA
0x00BE, 0x00BE, 0x0000, 0x0000, 0x0000, 0x0000
0x00BF, 0x00BF, 0x0000, 0x0000, 0x0000, 0x0000
0x00C0, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02FB
0x00C1, 0x00C1, 0x0000, 0x0000, 0x0000, 0x0000
0x00C2, 0x00C2, 0x0000, 0x0000, 0x0000, 0x0000
0x01EE, 0x01EE, 0x0000, 0x0000, 0x0000, 0x0000
0x0259, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x02FC
0x025A, 0x025A, 0x0000, 0x0000, 0x0000, 0x0000
0x025B, 0x025B, 0x0000, 0x0000, 0x0000, 0x0000
0x025C, 0x025C, 0x0000, 0x0000, 0x0000, 0x0000
0x0001, 0x02FD, 0x02FE, 0x02FF, 0x0000, 0x0000
0x0002, 0x0002, 0x0000, 0x0000, 0x0000, 0x0000
0x0004, 0x0004, 0x0000, 0x0000, 0x0000, 0x0000
0x000A, 0x000A, 0x0000, 0x0000, 0x0000, 0x0000
0x0021, 0x0021, 0x0000, 0x0000, 0x0000, 0x0000
0x0163, 0x0300, 0x0301, 0xFFFF, 0x0302, 0x0000
0x0164, 0x0164, 0x0000, 0x0000, 0x0000, 0x0000
0x006B, 0xFFFF, 0x0303, 0xFFFF, 0x0304, 0x0000
0x0166, 0x0166, 0x0000, 0x0000, 0x0000, 0x0000
0x0167, 0x0167, 0x0000, 0x0000, 0x0000, 0x0000
0x006C, 0xFFFF, 0xFFFF, 0x0305, 0x0307, 0x0000
0x0168, 0x0168, 0x0000, 0x0000, 0x0000, 0x0000
0x0169, 0x0169, 0x0000, 0x0000, 0x0000, 0x0000
0x0044, 0xFFFF, 0xFFFF, 0x0306, 0xFFFF, 0x0308
0x016A, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x0309
0x025D, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x030A
